Voltage	Current	NEPeph	NEPs	NEPa	NEP	NEPph	Sv	NEP^2-NEPph^2
0.00174842	2.06228e-09	2.4765e-17	6.83102e-17	7.17423e-17	5.72499e-16	5.63319e-16	7.01015e+07	1.0211e-16
0.00178643	2.11257e-09	2.46155e-17	6.68365e-17	7.02155e-17	5.72129e-16	5.63319e-16	7.13165e+07	1.00016e-16
0.00182444	2.16862e-09	2.44867e-17	6.56071e-17	6.89694e-17	5.71829e-16	5.63319e-16	7.22778e+07	9.82887e-17
0.00186245	2.22146e-09	2.43418e-17	6.42755e-17	6.76386e-17	5.71513e-16	5.63319e-16	7.33965e+07	9.64305e-17
0.00190046	2.27563e-09	2.41992e-17	6.30112e-17	6.63988e-17	5.71221e-16	5.63319e-16	7.44669e+07	9.46827e-17
0.00193847	2.32629e-09	2.40416e-17	6.16513e-17	6.50746e-17	5.70913e-16	5.63319e-16	7.57037e+07	9.28094e-17
0.00197648	2.38322e-09	2.3904e-17	6.05142e-17	6.40045e-17	5.70665e-16	5.63319e-16	7.6676e+07	9.12685e-17
0.00201449	2.43657e-09	2.3752e-17	5.92815e-17	6.28459e-17	5.704e-16	5.63319e-16	7.78178e+07	8.95994e-17
0.00205251	2.49656e-09	2.36194e-17	5.82587e-17	6.19279e-17	5.70189e-16	5.63319e-16	7.86869e+07	8.82441e-17
0.00209052	2.55291e-09	2.34729e-17	5.71404e-17	6.09184e-17	5.69961e-16	5.63319e-16	7.9728e+07	8.67586e-17
0.00212853	2.61081e-09	2.33292e-17	5.60765e-17	5.99792e-17	5.6975e-16	5.63319e-16	8.0718e+07	8.536e-17
0.00216654	2.67035e-09	2.31885e-17	5.50643e-17	5.9107e-17	5.69554e-16	5.63319e-16	8.16555e+07	8.40441e-17
0.00220455	2.73162e-09	2.30505e-17	5.41011e-17	5.82987e-17	5.69373e-16	5.63319e-16	8.25392e+07	8.2807e-17
0.00224257	2.79469e-09	2.29154e-17	5.31847e-17	5.75518e-17	5.69205e-16	5.63319e-16	8.33677e+07	8.16452e-17
0.00228058	2.85371e-09	2.27685e-17	5.21793e-17	5.67121e-17	5.69022e-16	5.63319e-16	8.43779e+07	8.03576e-17
0.00231859	2.92054e-09	2.26391e-17	5.13519e-17	5.60822e-17	5.68879e-16	5.63319e-16	8.50938e+07	7.93395e-17
0.0023566	2.98326e-09	2.24986e-17	5.04363e-17	5.53583e-17	5.6872e-16	5.63319e-16	8.59927e+07	7.81956e-17
0.00239462	3.0479e-09	2.23614e-17	4.95636e-17	5.46899e-17	5.68574e-16	5.63319e-16	8.68347e+07	7.71205e-17
0.00243263	3.11456e-09	2.22275e-17	4.87318e-17	5.40753e-17	5.68438e-16	5.63319e-16	8.76182e+07	7.61116e-17
0.00247064	3.18334e-09	2.20968e-17	4.79389e-17	5.35125e-17	5.68312e-16	5.63319e-16	8.83414e+07	7.51664e-17
0.00250866	3.25435e-09	2.19692e-17	4.71833e-17	5.30001e-17	5.68196e-16	5.63319e-16	8.90029e+07	7.42827e-17
0.00254667	3.3277e-09	2.18449e-17	4.64629e-17	5.25361e-17	5.68088e-16	5.63319e-16	8.96022e+07	7.34577e-17
0.00258469	3.40349e-09	2.17236e-17	4.57765e-17	5.212e-17	5.6799e-16	5.63319e-16	9.01367e+07	7.26904e-17
0.0026227	3.47469e-09	2.15938e-17	4.50091e-17	5.16113e-17	5.67877e-16	5.63319e-16	9.08585e+07	7.18042e-17
0.00266072	3.55559e-09	2.14789e-17	4.43882e-17	5.12888e-17	5.67794e-16	5.63319e-16	9.12602e+07	7.11491e-17
0.00269873	3.63186e-09	2.1356e-17	4.36874e-17	5.0874e-17	5.67698e-16	5.63319e-16	9.18482e+07	7.03764e-17
0.00273675	3.71838e-09	2.12474e-17	4.31267e-17	5.06424e-17	5.6763e-16	5.63319e-16	9.21102e+07	6.98285e-17
0.00277477	3.80022e-09	2.11312e-17	4.24872e-17	5.03191e-17	5.67549e-16	5.63319e-16	9.25566e+07	6.91643e-17
0.00281279	3.88498e-09	2.10185e-17	4.18772e-17	5.00403e-17	5.67475e-16	5.63319e-16	9.29322e+07	6.85529e-17
0.0028508	3.97281e-09	2.09091e-17	4.12955e-17	4.98059e-17	5.67408e-16	5.63319e-16	9.32346e+07	6.79936e-17
0.00288882	4.06386e-09	2.0803e-17	4.07412e-17	4.96158e-17	5.67347e-16	5.63319e-16	9.3462e+07	6.74858e-17
0.00292684	4.15828e-09	2.07002e-17	4.02133e-17	4.94699e-17	5.67293e-16	5.63319e-16	9.3613e+07	6.70289e-17
0.00296486	4.25626e-09	2.06006e-17	3.97107e-17	4.93682e-17	5.67245e-16	5.63319e-16	9.36864e+07	6.66224e-17
0.00300288	4.35797e-09	2.05042e-17	3.92329e-17	4.93112e-17	5.67203e-16	5.63319e-16	9.36803e+07	6.62664e-17
0.0030409	4.46359e-09	2.04108e-17	3.87787e-17	4.92988e-17	5.67168e-16	5.63319e-16	9.35948e+07	6.59603e-17
0.00307893	4.57333e-09	2.03204e-17	3.83475e-17	4.93313e-17	5.67138e-16	5.63319e-16	9.3429e+07	6.57041e-17
0.00311695	4.68739e-09	2.02329e-17	3.79383e-17	4.94094e-17	5.67114e-16	5.63319e-16	9.31824e+07	6.54979e-17
0.00315497	4.79646e-09	2.01408e-17	3.74589e-17	4.94023e-17	5.67078e-16	5.63319e-16	9.31049e+07	6.51875e-17
0.003193	4.91965e-09	2.00594e-17	3.70933e-17	4.95735e-17	5.67066e-16	5.63319e-16	9.26936e+07	6.50833e-17
0.00323102	5.04788e-09	1.99807e-17	3.6748e-17	4.97927e-17	5.6706e-16	5.63319e-16	9.22005e+07	6.50305e-17
0.00326905	5.17122e-09	1.98979e-17	3.63341e-17	4.99296e-17	5.67043e-16	5.63319e-16	9.187e+07	6.48773e-17
0.00330707	5.31008e-09	1.98247e-17	3.60288e-17	5.02481e-17	5.67049e-16	5.63319e-16	9.12116e+07	6.49305e-17
0.0033451	5.45481e-09	1.97542e-17	3.57422e-17	5.06185e-17	5.67061e-16	5.63319e-16	9.04725e+07	6.50382e-17
0.00338313	5.6057e-09	1.96861e-17	3.54741e-17	5.10423e-17	5.6708e-16	5.63319e-16	8.96538e+07	6.52018e-17
0.00342116	5.75202e-09	1.96146e-17	3.51395e-17	5.13887e-17	5.67088e-16	5.63319e-16	8.89881e+07	6.52711e-17
0.0034592	5.91604e-09	1.95516e-17	3.49079e-17	5.19249e-17	5.6712e-16	5.63319e-16	8.80098e+07	6.55516e-17
0.00349723	6.08728e-09	1.94909e-17	3.46936e-17	5.25207e-17	5.6716e-16	5.63319e-16	8.69557e+07	6.58936e-17
0.00353527	6.26614e-09	1.94325e-17	3.44965e-17	5.31787e-17	5.67207e-16	5.63319e-16	8.5828e+07	6.62993e-17
0.00357331	6.45304e-09	1.93763e-17	3.43163e-17	5.39016e-17	5.67262e-16	5.63319e-16	8.46285e+07	6.67715e-17
0.00361135	6.6608e-09	1.9327e-17	3.42334e-17	5.48294e-17	5.67345e-16	5.63319e-16	8.31506e+07	6.74664e-17
0.00364939	6.86542e-09	1.92748e-17	3.40857e-17	5.56926e-17	5.67418e-16	5.63319e-16	8.18204e+07	6.8081e-17
0.00368744	7.09243e-09	1.92292e-17	3.40339e-17	5.677e-17	5.6752e-16	5.63319e-16	8.02284e+07	6.89268e-17
0.00372548	7.31681e-09	1.91808e-17	3.39186e-17	5.77884e-17	5.67614e-16	5.63319e-16	7.87795e+07	6.96984e-17
0.00376353	7.56526e-09	1.91385e-17	3.38979e-17	5.90319e-17	5.6774e-16	5.63319e-16	7.70868e+07	7.07115e-17
0.00380159	7.83927e-09	1.91018e-17	3.39706e-17	6.05103e-17	5.67898e-16	5.63319e-16	7.51727e+07	7.19748e-17
0.00383964	8.11219e-09	1.90624e-17	3.39805e-17	6.19428e-17	5.68052e-16	5.63319e-16	7.34068e+07	7.31776e-17
0.0038777	8.41261e-09	1.90282e-17	3.40835e-17	6.3625e-17	5.68243e-16	5.63319e-16	7.14405e+07	7.46452e-17
