Voltage	Current	NEPeph	NEPs	NEPa	NEP	NEPph	Sv	NEP^2-NEPph^2
0.00190033	1.65295e-09	2.2071e-17	4.19655e-17	4.58428e-17	6.59529e-17	0	1.13201e+08	6.59529e-17
0.00193834	1.69387e-09	2.19692e-17	4.11943e-17	4.49686e-17	6.48213e-17	0	1.14692e+08	6.48213e-17
0.00197635	1.7317e-09	2.18572e-17	4.03334e-17	4.40375e-17	6.3591e-17	0	1.16465e+08	6.3591e-17
0.00201436	1.77058e-09	2.17476e-17	3.95198e-17	4.31686e-17	6.24364e-17	0	1.18163e+08	6.24364e-17
0.00205237	1.81058e-09	2.16406e-17	3.87511e-17	4.23587e-17	6.13533e-17	0	1.19783e+08	6.13533e-17
0.00209037	1.85176e-09	2.1536e-17	3.80247e-17	4.16048e-17	6.03377e-17	0	1.21324e+08	6.03377e-17
0.00212838	1.88949e-09	2.14226e-17	3.72144e-17	4.07908e-17	5.92261e-17	0	1.23166e+08	5.92261e-17
0.00216639	1.93311e-09	2.13231e-17	3.65681e-17	4.0142e-17	5.83377e-17	0	1.24544e+08	5.83377e-17
0.0022044	1.9781e-09	2.1226e-17	3.59575e-17	3.95417e-17	5.75068e-17	0	1.25835e+08	5.75068e-17
0.00224241	2.01954e-09	2.11208e-17	3.52637e-17	3.88779e-17	5.65783e-17	0	1.27434e+08	5.65783e-17
0.00228042	2.06227e-09	2.10185e-17	3.46063e-17	3.82606e-17	5.57068e-17	0	1.28949e+08	5.57068e-17
0.00231843	2.10637e-09	2.09189e-17	3.39832e-17	3.7688e-17	5.48894e-17	0	1.30378e+08	5.48894e-17
0.00235644	2.15191e-09	2.08221e-17	3.33927e-17	3.71583e-17	5.41236e-17	0	1.31718e+08	5.41236e-17
0.00239444	2.19896e-09	2.0728e-17	3.2833e-17	3.66698e-17	5.34072e-17	0	1.32965e+08	5.34072e-17
0.00243245	2.2476e-09	2.06365e-17	3.23028e-17	3.62211e-17	5.27381e-17	0	1.34117e+08	5.27381e-17
0.00247046	2.29792e-09	2.05476e-17	3.18003e-17	3.5811e-17	5.21142e-17	0	1.35171e+08	5.21142e-17
0.00250847	2.34419e-09	2.04528e-17	3.12218e-17	3.53355e-17	5.13976e-17	0	1.36549e+08	5.13976e-17
0.00254649	2.39799e-09	2.03693e-17	3.07728e-17	3.49998e-17	5.08612e-17	0	1.37401e+08	5.08612e-17
0.0025845	2.44767e-09	2.02803e-17	3.02487e-17	3.45983e-17	5.02326e-17	0	1.38578e+08	5.02326e-17
0.00262251	2.49913e-09	2.01942e-17	2.97507e-17	3.42327e-17	4.96466e-17	0	1.39652e+08	4.96466e-17
0.00266052	2.55245e-09	2.01109e-17	2.92777e-17	3.39024e-17	4.9102e-17	0	1.40617e+08	4.9102e-17
0.00269853	2.6142e-09	2.00376e-17	2.89228e-17	3.37059e-17	4.8725e-17	0	1.41032e+08	4.8725e-17
0.00273654	2.6717e-09	1.99597e-17	2.84949e-17	3.34433e-17	4.82577e-17	0	1.41771e+08	4.82577e-17
0.00277455	2.73139e-09	1.98844e-17	2.80889e-17	3.32143e-17	4.78285e-17	0	1.42392e+08	4.78285e-17
0.00281256	2.78648e-09	1.98052e-17	2.7614e-17	3.29202e-17	4.7313e-17	0	1.43338e+08	4.7313e-17
0.00285058	2.85073e-09	1.97354e-17	2.72504e-17	3.27575e-17	4.69588e-17	0	1.43717e+08	4.69588e-17
0.00288859	2.91753e-09	1.9668e-17	2.69061e-17	3.26275e-17	4.66404e-17	0	1.43969e+08	4.66404e-17
0.0029266	2.98701e-09	1.9603e-17	2.65804e-17	3.25303e-17	4.63575e-17	0	1.44093e+08	4.63575e-17
0.00296462	3.05179e-09	1.95349e-17	2.61877e-17	3.23686e-17	4.59906e-17	0	1.44533e+08	4.59906e-17
0.00300263	3.12691e-09	1.94748e-17	2.58982e-17	3.23372e-17	4.57786e-17	0	1.4439e+08	4.57786e-17
0.00304065	3.20518e-09	1.9417e-17	2.56253e-17	3.23392e-17	4.56015e-17	0	1.44112e+08	4.56015e-17
0.00307866	3.27869e-09	1.93564e-17	2.52871e-17	3.22775e-17	4.53426e-17	0	1.44142e+08	4.53426e-17
0.00311668	3.35533e-09	1.92983e-17	2.49668e-17	3.22502e-17	4.51203e-17	0	1.4403e+08	4.51203e-17
0.0031547	3.44372e-09	1.92472e-17	2.47425e-17	3.23546e-17	4.50496e-17	0	1.43332e+08	4.50496e-17
0.00319271	3.52735e-09	1.91938e-17	2.44547e-17	3.2397e-17	4.48998e-17	0	1.42932e+08	4.48998e-17
0.00323073	3.62355e-09	1.91468e-17	2.42601e-17	3.25733e-17	4.49018e-17	0	1.41948e+08	4.49018e-17
0.00326875	3.71504e-09	1.90978e-17	2.40031e-17	3.26889e-17	4.48268e-17	0	1.41256e+08	4.48268e-17
0.00330677	3.81069e-09	1.90509e-17	2.37613e-17	3.28423e-17	4.47901e-17	0	1.40416e+08	4.47901e-17
0.00334479	3.92027e-09	1.90097e-17	2.36087e-17	3.31337e-17	4.49064e-17	0	1.39004e+08	4.49064e-17
0.00338281	4.02526e-09	1.89668e-17	2.33955e-17	3.33674e-17	4.49497e-17	0	1.37872e+08	4.49497e-17
0.00342084	4.13523e-09	1.89258e-17	2.31963e-17	3.36427e-17	4.50342e-17	0	1.36594e+08	4.50342e-17
0.00345886	4.26075e-09	1.88899e-17	2.30828e-17	3.40622e-17	4.52756e-17	0	1.34766e+08	4.52756e-17
0.00349689	4.3819e-09	1.88525e-17	2.29102e-17	3.44271e-17	4.5448e-17	0	1.33207e+08	4.5448e-17
0.00353491	4.51981e-09	1.88198e-17	2.28214e-17	3.49422e-17	4.57817e-17	0	1.31117e+08	4.57817e-17
0.00357294	4.6536e-09	1.87858e-17	2.26744e-17	3.54053e-17	4.60496e-17	0	1.29289e+08	4.60496e-17
0.00361097	4.80554e-09	1.8756e-17	2.26097e-17	3.60257e-17	4.64848e-17	0	1.26954e+08	4.64848e-17
0.003649	4.96531e-09	1.87276e-17	2.25564e-17	3.67039e-17	4.69754e-17	0	1.24509e+08	4.69754e-17
0.00368704	5.12147e-09	1.86981e-17	2.24465e-17	3.73352e-17	4.74066e-17	0	1.22314e+08	4.74066e-17
0.00372507	5.29815e-09	1.86724e-17	2.24165e-17	3.81369e-17	4.80164e-17	0	1.19659e+08	4.80164e-17
0.00376311	5.48429e-09	1.86478e-17	2.23981e-17	3.90078e-17	4.86931e-17	0	1.1691e+08	4.86931e-17
0.00380115	5.69347e-09	1.86265e-17	2.24576e-17	4.00637e-17	4.95619e-17	0	1.13757e+08	4.95619e-17
0.00383919	5.90082e-09	1.86042e-17	2.24613e-17	4.10865e-17	5.03858e-17	0	1.10862e+08	5.03858e-17
0.00387724	6.13332e-09	1.85848e-17	2.25427e-17	4.23093e-17	5.14163e-17	0	1.076e+08	5.14163e-17
0.00391529	6.37885e-09	1.85662e-17	2.26349e-17	4.36248e-17	5.25372e-17	0	1.04302e+08	5.25372e-17
0.00395334	6.63825e-09	1.85485e-17	2.27384e-17	4.50408e-17	5.37565e-17	0	1.00976e+08	5.37565e-17
0.0039914	6.92724e-09	1.85333e-17	2.29187e-17	4.6688e-17	5.52134e-17	0	9.73709e+07	5.52134e-17
0.00402946	7.2328e-09	1.85186e-17	2.31103e-17	4.84555e-17	5.67887e-17	0	9.37813e+07	5.67887e-17
0.00406753	7.57159e-09	1.85062e-17	2.33789e-17	5.0482e-17	5.863e-17	0	8.99828e+07	5.863e-17
0.0041056	7.92997e-09	1.84941e-17	2.36599e-17	5.2655e-17	6.06166e-17	0	8.62397e+07	6.06166e-17
0.00414369	8.34191e-09	1.84854e-17	2.4084e-17	5.52565e-17	6.30478e-17	0	8.21529e+07	6.30478e-17
0.00418178	8.77752e-09	1.8477e-17	2.45226e-17	5.80417e-17	6.56627e-17	0	7.81879e+07	6.56627e-17
0.00421987	9.25529e-09	1.84701e-17	2.50421e-17	6.11682e-17	6.8628e-17	0	7.41716e+07	6.8628e-17
0.00425798	9.77772e-09	1.84647e-17	2.56448e-17	6.46621e-17	7.19708e-17	0	7.01468e+07	7.19708e-17
0.00429609	1.03473e-08	1.84608e-17	2.63336e-17	6.85541e-17	7.57226e-17	0	6.61499e+07	7.57226e-17
0.00433422	1.09845e-08	1.84595e-17	2.71788e-17	7.30301e-17	8.00802e-17	0	6.20832e+07	8.00802e-17
0.00437237	1.16925e-08	1.84608e-17	2.81871e-17	7.81388e-17	8.50939e-17	0	5.80138e+07	8.50939e-17
0.00441052	1.2474e-08	1.84647e-17	2.93666e-17	8.39305e-17	9.08167e-17	0	5.40018e+07	9.08167e-17
0.0044487	1.335e-08	1.84728e-17	3.07976e-17	9.06301e-17	9.74861e-17	0	5.00028e+07	9.74861e-17
0.00448689	1.43029e-08	1.8484e-17	3.24256e-17	9.81339e-17	1.04992e-16	0	4.61735e+07	1.04992e-16
0.00452511	1.53716e-08	1.85016e-17	3.44127e-17	1.06866e-16	1.13784e-16	0	4.2396e+07	1.13784e-16
0.00456335	1.65359e-08	1.85251e-17	3.67143e-17	1.16736e-16	1.23767e-16	0	3.88079e+07	1.23767e-16
0.00460161	1.78316e-08	1.8559e-17	3.95172e-17	1.28217e-16	1.35447e-16	0	3.53298e+07	1.35447e-16
