Voltage	Current	Iqp	Iand	V/Rleak	Te	Ts	DeltaT	Peph	Pand	Pleak	Pabs	Pcool
0.00212853	2.61081e-09	2.61081e-09	0	0.00484401	0.278178	0.3	0.984043	0.0231088	0	0.000271264	3.6297e-05	0.0611903
0.00216654	2.67035e-09	2.67035e-09	0	0.00493051	0.276724	0.3	0.984043	0.024357	0	0.000281039	3.79714e-05	0.0621272
0.00220455	2.73162e-09	2.73162e-09	0	0.00501701	0.27527	0.3	0.984043	0.0255728	0	0.000290987	3.97337e-05	0.0630987
0.00224257	2.79469e-09	2.79469e-09	0	0.00510351	0.273815	0.3	0.984043	0.0267569	0	0.000301107	4.15897e-05	0.0641045
0.00228058	2.85371e-09	2.85371e-09	0	0.00519001	0.272199	0.3	0.984043	0.0280362	0	0.000311401	4.33649e-05	0.0648627
0.00231859	2.92054e-09	2.92054e-09	0	0.00527651	0.270745	0.3	0.984043	0.0291555	0	0.000321867	4.54199e-05	0.0659342
0.0023566	2.98326e-09	2.98326e-09	0	0.00536301	0.269129	0.3	0.984043	0.0303645	0	0.000332507	4.73915e-05	0.0667545
0.00239462	3.0479e-09	3.0479e-09	0	0.00544951	0.267513	0.3	0.984043	0.0315377	0	0.000343319	4.94675e-05	0.0676045
0.00243263	3.11456e-09	3.11456e-09	0	0.00553601	0.265897	0.3	0.984043	0.032676	0	0.000354305	5.16551e-05	0.0684839
0.00247064	3.18334e-09	3.18334e-09	0	0.00562251	0.264281	0.3	0.984043	0.0337802	0	0.000365463	5.39618e-05	0.069392
0.00250866	3.25435e-09	3.25435e-09	0	0.00570901	0.262665	0.3	0.984043	0.0348512	0	0.000376795	5.6396e-05	0.0703287
0.00254667	3.3277e-09	3.3277e-09	0	0.00579551	0.26105	0.3	0.984043	0.0358898	0	0.000388299	5.89667e-05	0.0712934
0.00258469	3.40349e-09	3.40349e-09	0	0.00588201	0.259434	0.3	0.984043	0.0368967	0	0.000399977	6.16834e-05	0.0722858
0.0026227	3.47469e-09	3.47469e-09	0	0.00596851	0.257656	0.3	0.984043	0.0379686	0	0.000411827	6.42913e-05	0.0730119
0.00266072	3.55559e-09	3.55559e-09	0	0.00605501	0.25604	0.3	0.984043	0.0389116	0	0.000423851	6.73199e-05	0.0740572
0.00269873	3.63186e-09	3.63186e-09	0	0.00614151	0.254263	0.3	0.984043	0.039915	0	0.000436047	7.02389e-05	0.0748325
0.00273675	3.71838e-09	3.71838e-09	0	0.00622801	0.252647	0.3	0.984043	0.0407973	0	0.000448417	7.36252e-05	0.0759292
0.00277477	3.80022e-09	3.80022e-09	0	0.00631451	0.250869	0.3	0.984043	0.0417357	0	0.000460959	7.69019e-05	0.0767524
0.00281279	3.88498e-09	3.88498e-09	0	0.00640101	0.249092	0.3	0.984043	0.0426415	0	0.000473675	8.03707e-05	0.0775983
0.0028508	3.97281e-09	3.97281e-09	0	0.00648751	0.247314	0.3	0.984043	0.0435156	0	0.000486563	8.40457e-05	0.0784665
0.00288882	4.06386e-09	4.06386e-09	0	0.00657401	0.245537	0.3	0.984043	0.0443588	0	0.000499625	8.79421e-05	0.0793567
0.00292684	4.15828e-09	4.15828e-09	0	0.00666051	0.243759	0.3	0.984043	0.045172	0	0.000512859	9.20763e-05	0.0802684
0.00296486	4.25626e-09	4.25626e-09	0	0.00674701	0.241982	0.3	0.984043	0.0459561	0	0.000526267	9.64664e-05	0.0812012
0.00300288	4.35797e-09	4.35797e-09	0	0.00683351	0.240204	0.3	0.984043	0.0467119	0	0.000539847	0.000101132	0.0821548
0.0030409	4.46359e-09	4.46359e-09	0	0.00692001	0.238427	0.3	0.984043	0.0474403	0	0.000553601	0.000106093	0.0831287
0.00307893	4.57333e-09	4.57333e-09	0	0.00700651	0.236649	0.3	0.984043	0.048142	0	0.000567527	0.000111374	0.0841224
0.00311695	4.68739e-09	4.68739e-09	0	0.00709301	0.234872	0.3	0.984043	0.0488179	0	0.000581627	0.000116999	0.0851354
0.00315497	4.79646e-09	4.79646e-09	0	0.00717951	0.232933	0.3	0.984043	0.0495266	0	0.0005959	0.000122507	0.0858539
0.003193	4.91965e-09	4.91965e-09	0	0.00726601	0.231155	0.3	0.984043	0.0501508	0	0.000610345	0.000128881	0.0869024
0.00323102	5.04788e-09	5.04788e-09	0	0.00735251	0.229378	0.3	0.984043	0.0507515	0	0.000624964	0.000135687	0.0879682
0.00326905	5.17122e-09	5.17122e-09	0	0.00743901	0.227439	0.3	0.984043	0.0513808	0	0.000639755	0.000142398	0.0887337
0.00330707	5.31008e-09	5.31008e-09	0	0.00752551	0.225661	0.3	0.984043	0.0519346	0	0.00065472	0.000150149	0.0898306
0.0033451	5.45481e-09	5.45481e-09	0	0.00761201	0.223884	0.3	0.984043	0.0524669	0	0.000669857	0.000158445	0.0909423
0.00338313	5.6057e-09	5.6057e-09	0	0.00769851	0.222106	0.3	0.984043	0.0529786	0	0.000685168	0.000167332	0.0920676
0.00342116	5.75202e-09	5.75202e-09	0	0.00778501	0.220167	0.3	0.984043	0.0535139	0	0.000700651	0.000176182	0.0928839
0.0034592	5.91604e-09	5.91604e-09	0	0.00787151	0.21839	0.3	0.984043	0.0539843	0	0.000716308	0.000186372	0.0940317
0.00349723	6.08728e-09	6.08728e-09	0	0.00795801	0.216612	0.3	0.984043	0.054436	0	0.000732137	0.000197318	0.095189
0.00353527	6.26614e-09	6.26614e-09	0	0.00804451	0.214835	0.3	0.984043	0.0548695	0	0.00074814	0.000209083	0.096354
0.00357331	6.45304e-09	6.45304e-09	0	0.00813101	0.213057	0.3	0.984043	0.0552854	0	0.000764315	0.000221742	0.0975247
0.00361135	6.6608e-09	6.6608e-09	0	0.00821751	0.211441	0.3	0.984043	0.0556488	0	0.000780664	0.00023625	0.0990251
0.00364939	6.86542e-09	6.86542e-09	0	0.00830401	0.209664	0.3	0.984043	0.0560327	0	0.000797185	0.000250988	0.100201
0.00368744	7.09243e-09	7.09243e-09	0	0.00839051	0.208048	0.3	0.984043	0.056368	0	0.00081388	0.000267861	0.101702
0.00372548	7.31681e-09	7.31681e-09	0	0.00847701	0.20627	0.3	0.984043	0.056722	0	0.000830747	0.000285078	0.102872
0.00376353	7.56526e-09	7.56526e-09	0	0.00856351	0.204654	0.3	0.984043	0.0570309	0	0.000847788	0.000304766	0.10436
0.00380159	7.83927e-09	7.83927e-09	0	0.00865001	0.2032	0.3	0.984043	0.0572986	0	0.000865001	0.000327243	0.106165
0.00383964	8.11219e-09	8.11219e-09	0	0.00873652	0.201584	0.3	0.984043	0.0575851	0	0.000882388	0.000350425	0.107624
0.0038777	8.41261e-09	8.41261e-09	0	0.00882302	0.20013	0.3	0.984043	0.0578333	0	0.000899948	0.000376861	0.10939
0.00391577	8.72747e-09	8.72747e-09	0	0.00890952	0.198676	0.3	0.984043	0.0580726	0	0.00091768	0.000405599	0.111125
0.00395384	9.07256e-09	9.07256e-09	0	0.00899602	0.197383	0.3	0.984043	0.0582781	0	0.000935586	0.000438308	0.113153
0.00399191	9.43427e-09	9.43427e-09	0	0.00908252	0.19609	0.3	0.984043	0.058477	0	0.000953664	0.000473954	0.115135
0.00402999	9.8291e-09	9.8291e-09	0	0.00916902	0.194959	0.3	0.984043	0.0586457	0	0.000971916	0.000514454	0.11739
0.00406807	1.02429e-08	1.02429e-08	0	0.00925552	0.193828	0.3	0.984043	0.0588096	0	0.00099034	0.00055868	0.119577
0.00410617	1.0709e-08	1.0709e-08	0	0.00934202	0.19302	0.3	0.984043	0.0589238	0	0.00100894	0.000610684	0.122338
0.00414427	1.1197e-08	1.1197e-08	0	0.00942852	0.192212	0.3	0.984043	0.0590357	0	0.00102771	0.000667614	0.125
0.00418237	1.17247e-08	1.17247e-08	0	0.00951502	0.191566	0.3	0.984043	0.0591234	0	0.00104665	0.000732022	0.127871
0.00422049	1.22937e-08	1.22937e-08	0	0.00960152	0.191081	0.3	0.984043	0.0591883	0	0.00106577	0.000804798	0.130928
0.00425861	1.2923e-08	1.2923e-08	0	0.00968802	0.190919	0.3	0.984043	0.0592097	0	0.00108506	0.000889294	0.13447
0.00429675	1.35971e-08	1.35971e-08	0	0.00977452	0.190919	0.3	0.984043	0.0592097	0	0.00110452	0.000984487	0.13814
0.0043349	1.43172e-08	1.43172e-08	0	0.00986102	0.191081	0.3	0.984043	0.0591883	0	0.00112416	0.00109153	0.141905
0.00437306	1.512e-08	1.512e-08	0	0.00994752	0.191727	0.3	0.984043	0.0591016	0	0.00114396	0.00121738	0.146366
0.00441124	1.59891e-08	1.59891e-08	0	0.010034	0.192697	0.3	0.984043	0.0589688	0	0.00116395	0.00136134	0.151155
0.00444942	1.69248e-08	1.69248e-08	0	0.0101205	0.193989	0.3	0.984043	0.0587865	0	0.0011841	0.00152533	0.156223
0.00448763	1.79269e-08	1.79269e-08	0	0.010207	0.195605	0.3	0.984043	0.0585499	0	0.00120443	0.00171131	0.161518
0.00452585	1.90306e-08	1.90306e-08	0	0.0102935	0.197868	0.3	0.984043	0.0582018	0	0.00122493	0.00192852	0.167608
0.00456409	2.0216e-08	2.0216e-08	0	0.01038	0.200615	0.3	0.984043	0.0577515	0	0.0012456	0.00217626	0.174118
0.00460235	2.14803e-08	2.14803e-08	0	0.0104665	0.203847	0.3	0.984043	0.0571808	0	0.00126645	0.00245698	0.180993
0.00464062	2.28199e-08	2.28199e-08	0	0.010553	0.207563	0.3	0.984043	0.056466	0	0.00128747	0.00277297	0.188179
0.00467891	2.42474e-08	2.42474e-08	0	0.0106395	0.211926	0.3	0.984043	0.0555412	0	0.00130866	0.00313076	0.195935
0.00471721	2.5757e-08	2.5757e-08	0	0.010726	0.216935	0.3	0.984043	0.0543552	0	0.00133003	0.00353273	0.204224
0.00475553	2.73092e-08	2.73092e-08	0	0.0108125	0.222268	0.3	0.984043	0.0529329	0	0.00135156	0.00397134	0.212407
0.00479385	2.89315e-08	2.89315e-08	0	0.010899	0.228247	0.3	0.984043	0.0511218	0	0.00137328	0.00445718	0.221083
0.00483219	3.06012e-08	3.06012e-08	0	0.0109855	0.23471	0.3	0.984043	0.048878	0	0.00139516	0.00498651	0.229946
0.00487054	3.23128e-08	3.23128e-08	0	0.011072	0.241659	0.3	0.984043	0.0460956	0	0.00141722	0.00555993	0.239009
0.00490889	3.40461e-08	3.40461e-08	0	0.0111585	0.24893	0.3	0.984043	0.0427223	0	0.00143945	0.0061724	0.247983
0.00494724	3.57828e-08	3.57828e-08	0	0.011245	0.256363	0.3	0.984043	0.0387253	0	0.00146185	0.00681818	0.256573
0.0049856	3.75349e-08	3.75349e-08	0	0.0113315	0.26412	0.3	0.984043	0.0338888	0	0.00148443	0.00750222	0.265127
0.00502395	3.92857e-08	3.92857e-08	0	0.011418	0.272038	0.3	0.984043	0.028162	0	0.00150718	0.00821841	0.273357
0.0050623	4.10204e-08	4.10204e-08	0	0.0115045	0.279956	0.3	0.984043	0.0215384	0	0.0015301	0.00896024	0.280962
