Voltage	Current	Iqp	Iand	V/Rleak	Te	Ts	DeltaT	Peph	Pand	Pleak	Pabs	Pcool
4.00001e-06	2.38022e-13	2.38022e-13	0	0.000238022	0.299336	0.3	0.999991	0.000712673	0	4.76044e-07	8.27721e-13	-2.53337e-23
8.00001e-06	4.76044e-13	4.76044e-13	0	0.000476044	0.299336	0.3	0.999991	0.000712673	0	1.90417e-06	3.31088e-12	-1.3689e-23
1.2e-05	7.14065e-13	7.14065e-13	0	0.000714065	0.299336	0.3	0.999991	0.000712673	0	4.28439e-06	7.44948e-12	-1.60143e-24
1.6e-05	9.52087e-13	9.52087e-13	0	0.000952087	0.299336	0.3	0.999991	0.000712673	0	7.6167e-06	1.32435e-11	1.09461e-23
2e-05	1.19011e-12	1.19011e-12	0	0.00119011	0.299336	0.3	0.999991	0.000712673	0	1.19011e-05	2.0693e-11	2.39714e-23
2.4e-05	1.42813e-12	1.42813e-12	0	0.00142813	0.299336	0.3	0.999991	0.000712673	0	1.71376e-05	2.97979e-11	3.7493e-23
2.8e-05	1.66615e-12	1.66615e-12	0	0.00166615	0.299336	0.3	0.999991	0.000712673	0	2.33261e-05	4.05583e-11	5.15302e-23
3.20001e-05	1.90417e-12	1.90417e-12	0	0.00190417	0.299336	0.3	0.999991	0.000712673	0	3.04668e-05	5.29741e-11	6.61029e-23
3.60001e-05	2.1422e-12	2.1422e-12	0	0.0021422	0.299336	0.3	0.999991	0.000712673	0	3.85595e-05	6.70454e-11	8.1232e-23
4.00001e-05	2.38022e-12	2.38022e-12	0	0.00238022	0.299336	0.3	0.999991	0.000712673	0	4.76044e-05	8.27721e-11	9.69389e-23
4.40001e-05	2.61824e-12	2.61824e-12	0	0.00261824	0.299336	0.3	0.999991	0.000712673	0	5.76013e-05	1.00154e-10	1.13246e-22
4.80001e-05	2.85626e-12	2.85626e-12	0	0.00285626	0.299336	0.3	0.999991	0.000712673	0	6.85503e-05	1.19192e-10	1.30177e-22
5.20001e-05	3.09428e-12	3.09428e-12	0	0.00309428	0.299336	0.3	0.999991	0.000712673	0	8.04514e-05	1.39885e-10	1.47755e-22
5.60001e-05	3.33231e-12	3.33231e-12	0	0.00333231	0.299336	0.3	0.999991	0.000712673	0	9.33045e-05	1.62233e-10	1.66006e-22
6.00001e-05	3.57033e-12	3.57033e-12	0	0.00357033	0.299336	0.3	0.999991	0.000712673	0	0.00010711	1.86237e-10	1.84956e-22
6.40001e-05	3.80835e-12	3.80835e-12	0	0.00380835	0.299336	0.3	0.999991	0.000712673	0	0.000121867	2.11896e-10	2.04632e-22
6.80001e-05	4.04637e-12	4.04637e-12	0	0.00404637	0.299336	0.3	0.999991	0.000712673	0	0.000137577	2.39211e-10	2.25063e-22
7.20001e-05	4.28439e-12	4.28439e-12	0	0.00428439	0.299336	0.3	0.999991	0.000712673	0	0.000154238	2.68181e-10	2.46276e-22
7.60001e-05	4.52241e-12	4.52241e-12	0	0.00452241	0.299336	0.3	0.999991	0.000712673	0	0.000171852	2.98807e-10	2.68303e-22
8.00001e-05	4.76044e-12	4.76044e-12	0	0.00476044	0.299336	0.3	0.999991	0.000712673	0	0.000190417	3.31088e-10	2.91176e-22
8.40001e-05	4.99846e-12	4.99846e-12	0	0.00499846	0.301023	0.3	0.999991	-0.00111355	0	0.000209935	3.65025e-10	5.37634e-22
8.80002e-05	5.23648e-12	5.23648e-12	0	0.00523648	0.301023	0.3	0.999991	-0.00111355	0	0.000230405	4.00617e-10	5.70741e-22
9.20002e-05	5.4745e-12	5.4745e-12	0	0.0054745	0.301023	0.3	0.999991	-0.00111355	0	0.000251827	4.37864e-10	6.05116e-22
9.60002e-05	5.71252e-12	5.71252e-12	0	0.00571252	0.301023	0.3	0.999991	-0.00111355	0	0.000274201	4.76767e-10	6.40806e-22
0.0001	5.95055e-12	5.95055e-12	0	0.00595055	0.301023	0.3	0.999991	-0.00111355	0	0.000297527	5.17325e-10	6.77864e-22
0.000104	6.18857e-12	6.18857e-12	0	0.00618857	0.301023	0.3	0.999991	-0.00111355	0	0.000321805	5.59539e-10	7.16341e-22
0.000108	6.42659e-12	6.42659e-12	0	0.00642659	0.301023	0.3	0.999991	-0.00111355	0	0.000347036	6.03408e-10	7.56292e-22
0.000112	6.66461e-12	6.66461e-12	0	0.00666461	0.301023	0.3	0.999991	-0.00111355	0	0.000373218	6.48933e-10	7.97774e-22
0.000116	6.90263e-12	6.90263e-12	0	0.00690263	0.301023	0.3	0.999991	-0.00111355	0	0.000400353	6.96113e-10	8.40847e-22
0.00012	7.14065e-12	7.14065e-12	0	0.00714065	0.301023	0.3	0.999991	-0.00111355	0	0.000428439	7.44948e-10	8.8557e-22
0.000124	7.37868e-12	7.37868e-12	0	0.00737868	0.301023	0.3	0.999991	-0.00111355	0	0.000457478	7.95439e-10	9.32009e-22
0.000128	7.6167e-12	7.6167e-12	0	0.0076167	0.301023	0.3	0.999991	-0.00111355	0	0.000487469	8.47586e-10	9.80228e-22
